charge_end_I,charge_end_U,charge_end_soc,charge_energy,charge_max_temp,charge_min_temp,charge_start_I,charge_start_U,charge_start_soc,mileage,vehicle_id,year,month,week,day,hour,night,start,end,second_interval,charge_hour,dU,dsoc,ddsoc,dsoc/hour,dtemp,dmileage,dmileage/soc,interval_min,dU/dsoc
-7.7,398.2,100.0,21.11,18,10,-7.7,363.8,34.0,82965.6,1,2017,11,4,3,20,0,2017-11-03 20:37:11,2017-11-04 03:54:11,26220.0,7.283333333333333,34.39999999999998,66.0,40.400000000000006,9.061784897025172,8,82.30000000000291,2.037128712871359,174.35,0.5212121212121209
-40.4,389.8,99.2,17.705,23,14,-26.8,369.3,43.2,83082.5,1,2017,11,5,4,15,0,2017-11-04 15:25:12,2017-11-04 16:34:02,4130.0,1.1472222222222221,20.5,56.0,56.8,48.8135593220339,9,116.89999999999418,2.0580985915491934,691.0166666666667,0.36607142857142855
-7.8,397.5,100.0,16.166,18,12,-7.6,367.4,50.4,83184.8,1,2017,11,5,4,20,0,2017-11-04 20:24:45,2017-11-05 01:58:35,20030.0,5.563888888888889,30.100000000000023,49.6,48.800000000000004,8.91462805791313,6,102.30000000000291,2.0963114754098955,230.71666666666667,0.6068548387096778
-40.5,382.0,88.8,20.595,27,18,-23.2,361.0,23.2,83339.0,1,2017,11,6,5,13,0,2017-11-05 13:52:03,2017-11-05 15:13:23,4880.0,1.3555555555555556,21.0,65.6,76.8,48.393442622950815,9,154.1999999999971,2.0078124999999623,713.4666666666667,0.3201219512195122
-7.6,399.9,100.0,23.765,22,13,-7.7,359.0,27.2,83459.4,1,2017,11,6,5,20,0,2017-11-05 20:44:56,2017-11-06 04:56:55,29519.0,8.199722222222222,40.89999999999998,72.8,61.599999999999994,8.878349537585962,9,120.39999999999418,1.9545454545453602,331.55,0.5618131868131865
-40.4,386.5,97.6,20.668000000000003,26,16,-39.5,366.4,32.0,83599.5,1,2017,11,0,6,13,0,2017-11-06 13:25:56,2017-11-06 14:46:36,4840.0,1.3444444444444446,20.100000000000023,65.6,68.0,48.793388429752056,10,140.10000000000582,2.0602941176471443,509.01666666666665,0.3064024390243906
-7.7,398.7,100.0,24.67,22,13,-7.8,357.6,24.4,83750.7,1,2017,11,0,6,21,0,2017-11-06 21:26:08,2017-11-07 05:57:18,30670.0,8.519444444444444,41.099999999999966,75.6,73.19999999999999,8.873818063253994,9,151.1999999999971,2.065573770491764,399.53333333333336,0.5436507936507933
-40.6,381.1,80.0,10.058,24,18,-26.4,369.8,48.0,83852.4,1,2017,11,1,7,15,0,2017-11-07 15:16:04,2017-11-07 15:55:24,2360.0,0.6555555555555556,11.300000000000011,32.0,52.0,48.813559322033896,6,101.69999999999709,1.9557692307691747,558.7666666666667,0.35312500000000036
-7.7,397.1,100.0,19.344,21,15,-7.6,365.2,40.4,83934.0,1,2017,11,1,7,20,0,2017-11-07 20:11:45,2017-11-08 02:51:14,23969.0,6.658055555555555,31.900000000000034,59.6,39.6,8.951562434811633,6,81.60000000000582,2.0606060606062075,256.35,0.5352348993288596
-37.8,380.7,80.4,14.944,24,17,-62.8,368.7,33.2,84072.1,1,2017,11,2,8,14,0,2017-11-08 14:28:51,2017-11-08 15:31:51,3780.0,1.05,12.0,47.2,66.8,44.952380952380956,7,138.10000000000582,2.067365269461165,697.6166666666667,0.2542372881355932
-7.6,397.0,100.0,24.956,20,12,-7.6,357.0,24.0,84191.4,1,2017,11,2,8,21,0,2017-11-08 21:35:05,2017-11-09 06:12:15,31030.0,8.619444444444444,40.0,76.0,56.400000000000006,8.81727360618756,8,119.29999999998836,2.115248226950148,363.23333333333335,0.5263157894736842
-40.3,382.4,90.0,14.847999999999999,24,16,-26.4,369.6,42.8,84311.5,1,2017,11,3,9,13,0,2017-11-09 13:52:08,2017-11-09 14:50:28,3500.0,0.9722222222222222,12.799999999999955,47.2,57.2,48.548571428571435,8,120.10000000000582,2.0996503496504513,459.8833333333333,0.2711864406779651
-7.7,398.5,100.0,19.015,20,15,-7.7,365.4,42.0,84414.0,1,2017,11,3,9,20,0,2017-11-09 20:37:50,2017-11-10 03:10:29,23559.0,6.5441666666666665,33.10000000000002,58.0,48.0,8.862854959887942,5,102.5,2.1354166666666665,347.3666666666667,0.5706896551724142
-40.6,380.9,68.4,5.492999999999999,16,12,-26.3,370.4,51.6,84516.6,1,2017,11,4,10,16,0,2017-11-10 16:52:05,2017-11-10 17:13:35,1290.0,0.35833333333333334,10.5,16.800000000000004,48.4,46.88372093023257,4,102.60000000000582,2.119834710743922,821.6,0.6249999999999999
-7.7,398.3,100.0,17.101,15,10,-7.8,366.4,47.2,84559.4,1,2017,11,4,10,21,0,2017-11-10 21:20:26,2017-11-11 03:13:35,21189.0,5.885833333333333,31.900000000000034,52.8,21.200000000000003,8.970692340365284,5,42.79999999998836,2.0188679245277523,246.85,0.6041666666666673
-38.1,388.6,98.4,11.865,16,9,-5.7,366.8,61.2,84643.7,1,2017,11,5,11,11,0,2017-11-11 11:23:42,2017-11-11 12:13:22,2980.0,0.8277777777777777,21.80000000000001,37.2,38.8,44.939597315436245,7,84.30000000000291,2.1726804123712093,490.1166666666667,0.5860215053763443
-40.2,379.5,66.4,9.977,21,13,-26.1,365.9,34.8,84775.1,1,2017,11,5,11,18,0,2017-11-11 18:13:03,2017-11-11 18:52:13,2350.0,0.6527777777777778,13.600000000000023,31.60000000000001,63.60000000000001,48.408510638297884,8,131.40000000000873,2.0660377358491937,359.68333333333334,0.43037974683544367
-7.7,397.6,100.0,18.941,18,10,-7.7,365.6,42.4,84824.2,1,2017,11,5,11,20,0,2017-11-11 20:47:22,2017-11-12 03:18:41,23479.0,6.521944444444444,32.0,57.6,24.000000000000007,8.831721964308532,8,49.09999999999127,2.045833333332969,115.15,0.5555555555555556
-36.3,389.3,98.4,12.724,18,10,-36.0,372.9,58.4,84912.6,1,2017,11,6,12,11,0,2017-11-12 11:54:18,2017-11-12 12:49:08,3290.0,0.9138888888888889,16.400000000000034,40.00000000000001,41.6,43.768996960486334,8,88.40000000000873,2.1250000000002096,515.6166666666667,0.41000000000000075
-7.8,398.2,100.0,24.138,17,9,-7.8,358.1,25.2,85073.9,1,2017,11,6,12,20,0,2017-11-12 20:26:39,2017-11-13 04:46:49,30010.0,8.33611111111111,40.099999999999966,74.8,73.2,8.973008997001001,8,161.29999999998836,2.203551912568147,457.51666666666665,0.5360962566844916
-34.6,386.9,98.0,13.713,20,13,-61.7,373.7,55.2,85165.0,1,2017,11,0,13,12,0,2017-11-13 12:41:41,2017-11-13 13:44:21,3760.0,1.0444444444444445,13.199999999999989,42.8,44.8,40.97872340425531,7,91.10000000000582,2.033482142857273,474.8666666666667,0.3084112149532708
-7.7,395.9,100.0,22.233,17,8,-7.7,361.7,31.2,85311.5,1,2017,11,0,13,21,0,2017-11-13 21:00:28,2017-11-14 04:40:37,27609.0,7.6691666666666665,34.19999999999999,68.8,66.8,8.970987721395197,9,146.5,2.19311377245509,436.1166666666667,0.4970930232558138
-7.8,400.3,100.0,22.309,13,7,-7.7,361.0,31.2,85446.9,1,2017,11,1,14,17,0,2017-11-14 17:28:57,2017-11-15 01:10:36,27699.0,7.694166666666667,39.30000000000001,68.8,68.8,8.941839055561571,6,135.39999999999418,1.968023255813869,768.3333333333334,0.5712209302325584
-42.0,381.5,73.6,12.902999999999999,18,10,-6.1,361.9,32.8,85581.1,1,2017,11,2,15,12,0,2017-11-15 12:36:36,2017-11-15 13:25:56,2960.0,0.8222222222222222,19.600000000000023,40.8,67.2,49.62162162162162,8,134.20000000001164,1.9970238095239827,686.0,0.48039215686274567
-42.5,388.2,97.2,7.579,21,15,-6.2,372.8,73.6,85581.1,1,2017,11,2,15,13,0,2017-11-15 13:43:06,2017-11-15 14:11:46,1720.0,0.4777777777777778,15.399999999999977,23.60000000000001,0.0,49.39534883720932,6,0.0,,17.166666666666668,0.6525423728813547
-7.8,400.0,100.0,20.813000000000002,15,6,-7.6,363.1,36.0,85709.1,1,2017,11,2,15,19,0,2017-11-15 19:40:50,2017-11-16 02:51:30,25840.0,7.177777777777778,36.89999999999998,64.0,61.2,8.91640866873065,9,128.0,2.0915032679738563,329.06666666666666,0.5765624999999996
-34.7,373.6,33.2,0.93,15,12,-3.7,359.6,30.4,85854.5,1,2017,11,3,16,13,0,2017-11-16 13:04:08,2017-11-16 13:08:38,270.0,0.075,14.0,2.8000000000000043,69.6,37.33333333333339,3,145.39999999999418,2.0890804597700314,612.6333333333333,4.999999999999992
