charge_end_I,charge_end_U,charge_end_soc,charge_energy,charge_max_temp,charge_min_temp,charge_start_I,charge_start_U,charge_start_soc,mileage,vehicle_id,year,month,week,day,hour,night,start,end,second_interval,charge_hour,dU,dsoc,ddsoc,dsoc/hour,dtemp,dmileage,dmileage/soc,interval_min,dU/dsoc,sum_charge,phase,charge_mode
-16.2,374.7,34.8,21.151999999999997,28,17,-64.6,324.7,8.8,133390.0,11,2017,11,3,2,23,0,2017-11-02 23:24:12,2017-11-03 00:44:09,4797.0,1.3325,50.0,25.999999999999996,85.2,19.512195121951216,11,,,,1.9230769230769234,1.3325,0,3
-16.0,374.8,33.6,20.976999999999997,25,16,-64.8,326.9,7.6,133533.0,11,2017,11,4,3,15,0,2017-11-03 15:44:27,2017-11-03 17:04:27,4800.0,1.3333333333333333,47.900000000000034,26.0,27.199999999999996,19.5,9,143.0,5.257352941176471,900.3,1.8423076923076935,2.6658333333333335,0,3
-16.1,374.8,34.4,22.449,25,11,-64.8,325.3,6.4,133675.0,11,2017,11,4,3,23,0,2017-11-03 23:40:06,2017-11-04 01:04:43,5077.0,1.4102777777777777,49.5,28.0,27.200000000000003,19.854244632657082,14,142.0,5.220588235294117,395.65,1.7678571428571428,4.0761111111111115,0,3
-0.1,374.1,31.6,21.357,24,14,-7.1,320.2,5.2,133818.0,11,2017,11,5,4,15,0,2017-11-04 15:26:31,2017-11-04 16:48:21,4910.0,1.363888888888889,53.900000000000034,26.400000000000002,29.2,19.356415478615073,10,143.0,4.897260273972603,861.8,2.041666666666668,5.44,0,3
-16.1,374.7,34.4,23.853,24,11,-9.2,309.9,4.8,133972.0,11,2017,11,5,4,23,0,2017-11-04 23:49:29,2017-11-05 01:21:46,5537.0,1.5380555555555555,64.80000000000001,29.599999999999998,27.2,19.245078562398408,13,154.0,5.661764705882353,413.1333333333333,2.18918918918919,6.978055555555556,0,3
-16.2,373.4,34.0,3.32,24,21,-30.0,368.0,30.0,134112.0,11,2017,11,6,5,17,0,2017-11-05 17:17:31,2017-11-05 17:43:41,1570.0,0.4361111111111111,5.399999999999977,4.0,4.399999999999999,9.171974522292993,3,140.0,31.818181818181827,955.75,1.3499999999999943,7.414166666666667,0,3
-30.0,368.0,30.0,17.453,25,13,-59.8,326.8,8.0,134250.0,11,2017,11,6,5,22,0,2017-11-05 22:37:37,2017-11-05 23:29:47,3130.0,0.8694444444444445,41.19999999999999,22.0,26.0,25.303514376996805,12,138.0,5.3076923076923075,293.93333333333334,1.8727272727272721,8.28361111111111,0,3
-16.1,373.0,33.2,13.705,21,13,-59.8,341.6,16.4,134648.0,11,2017,11,4,10,17,0,2017-11-10 17:06:37,2017-11-10 18:02:57,3380.0,0.9388888888888889,31.399999999999977,16.800000000000004,13.600000000000001,17.89349112426036,8,398.0,29.26470588235294,6816.833333333333,1.8690476190476173,9.222499999999998,0,3
-16.1,374.7,34.4,25.612,25,12,-9.0,275.0,2.0,134798.0,11,2017,11,4,10,23,0,2017-11-10 23:53:35,2017-11-11 01:27:42,5647.0,1.5686111111111112,99.69999999999999,32.4,31.200000000000003,20.65521515849123,13,150.0,4.8076923076923075,350.6333333333333,3.07716049382716,10.79111111111111,0,3
-16.1,374.8,31.6,22.241999999999997,23,12,-9.1,318.6,4.0,134937.0,11,2017,11,5,11,15,0,2017-11-11 15:28:04,2017-11-11 16:52:04,5040.0,1.4,56.19999999999999,27.6,30.4,19.714285714285715,11,139.0,4.572368421052632,840.3666666666667,2.0362318840579703,12.19111111111111,0,3
-16.2,374.8,34.0,23.324,23,9,-8.1,315.1,4.8,135079.0,11,2017,11,5,11,23,0,2017-11-11 23:24:22,2017-11-12 00:51:50,5248.0,1.4577777777777778,59.69999999999999,29.2,26.8,20.030487804878046,14,142.0,5.298507462686567,392.3,2.044520547945205,13.648888888888889,0,3
-16.1,374.8,33.2,18.314,21,12,-64.8,334.1,10.8,135198.0,11,2017,11,6,12,15,0,2017-11-12 15:40:06,2017-11-12 16:53:26,4400.0,1.2222222222222223,40.69999999999999,22.400000000000002,23.2,18.327272727272728,9,119.0,5.129310344827586,888.2666666666667,1.8169642857142851,14.871111111111112,0,3
-16.1,374.7,33.6,17.758,22,10,-6.1,328.3,11.6,135308.0,11,2017,11,6,12,21,0,2017-11-12 21:56:13,2017-11-12 23:08:03,4310.0,1.1972222222222222,46.39999999999998,22.0,21.6,18.37587006960557,12,110.0,5.092592592592593,302.78333333333336,2.109090909090908,16.068333333333335,0,3
-16.1,374.8,34.4,14.037,19,12,-8.5,336.1,17.6,135400.0,11,2017,11,0,13,15,0,2017-11-13 15:41:09,2017-11-13 16:44:10,3781.0,1.0502777777777779,38.69999999999999,16.799999999999997,16.0,15.99576831526051,7,92.0,5.75,993.1,2.3035714285714284,17.118611111111115,0,3
-16.1,374.8,33.6,9.847000000000001,13,7,-19.1,345.9,21.6,135925.0,11,2017,11,4,17,16,0,2017-11-17 16:19:57,2017-11-17 17:11:27,3090.0,0.8583333333333333,28.900000000000034,12.0,12.799999999999997,13.980582524271846,6,62.0,4.843750000000001,2473.383333333333,2.4083333333333363,17.97694444444445,0,3
-16.1,374.6,32.0,20.537,19,7,-15.6,321.2,6.4,136035.0,11,2017,11,4,17,22,0,2017-11-17 22:00:29,2017-11-17 23:23:29,4980.0,1.3833333333333333,53.400000000000034,25.6,27.200000000000003,18.506024096385545,12,110.0,4.044117647058823,289.03333333333336,2.0859375000000013,19.36027777777778,0,3
-16.2,374.7,32.8,20.375999999999998,18,8,-7.7,321.1,7.6,136152.0,11,2017,11,5,18,14,0,2017-11-18 14:33:10,2017-11-18 15:55:20,4930.0,1.3694444444444445,53.599999999999966,25.199999999999996,24.4,18.401622718052735,10,117.0,4.795081967213115,909.6833333333333,2.126984126984126,20.729722222222225,0,3
-60.7,360.3,24.0,11.095,16,7,-64.7,329.2,10.0,136262.0,11,2017,11,5,18,21,0,2017-11-18 21:51:41,2017-11-18 22:23:01,1880.0,0.5222222222222223,31.100000000000023,14.0,22.799999999999997,26.80851063829787,9,110.0,4.824561403508772,356.35,2.221428571428573,21.251944444444447,0,3
-29.9,371.1,31.2,21.651,18,4,-0.1,300.8,4.0,136348.0,11,2017,11,6,19,11,0,2017-11-19 11:02:00,2017-11-19 12:08:20,3980.0,1.1055555555555556,70.30000000000001,27.2,20.0,24.60301507537688,14,86.0,4.3,758.9833333333333,2.584558823529412,22.3575,0,3
-64.8,356.2,22.4,2.345,15,10,-64.7,348.8,19.6,136417.0,11,2017,11,6,19,16,0,2017-11-19 16:41:16,2017-11-19 16:47:26,370.0,0.10277777777777777,7.399999999999977,2.799999999999997,11.599999999999998,27.243243243243217,5,69.0,5.948275862068966,272.93333333333334,2.6428571428571375,22.46027777777778,0,3
-29.8,369.1,30.8,13.782,20,9,-54.3,335.8,13.6,136460.0,11,2017,11,6,19,18,0,2017-11-19 18:44:31,2017-11-19 19:29:01,2670.0,0.7416666666666667,33.30000000000001,17.200000000000003,8.799999999999999,23.19101123595506,11,43.0,4.886363636363637,117.08333333333333,1.9360465116279073,23.201944444444447,0,3
-16.1,374.7,33.2,21.028000000000002,20,6,-3.4,319.2,6.8,136557.0,11,2017,11,6,19,23,0,2017-11-19 23:52:51,2017-11-20 01:17:38,5087.0,1.4130555555555555,55.5,26.400000000000002,24.0,18.682917240023592,14,97.0,4.041666666666667,263.8333333333333,2.102272727272727,24.615000000000002,0,3
-16.1,374.8,32.8,15.443,20,12,-65.0,342.5,14.0,136678.0,11,2017,11,0,20,15,0,2017-11-20 15:39:25,2017-11-20 16:44:55,3930.0,1.0916666666666666,32.30000000000001,18.799999999999997,19.200000000000003,17.221374045801525,8,121.0,6.302083333333332,861.7833333333333,1.7180851063829796,25.706666666666667,0,3
-16.1,374.7,35.2,22.474,22,8,-5.6,317.4,7.2,136805.0,11,2017,11,0,20,23,0,2017-11-20 23:34:27,2017-11-21 01:00:04,5137.0,1.4269444444444443,57.30000000000001,28.000000000000004,25.599999999999998,19.62234767373954,14,127.0,4.9609375,409.53333333333336,2.0464285714285717,27.13361111111111,0,3
-16.1,374.4,32.8,20.199,19,10,-59.9,327.1,8.0,136933.0,11,2017,11,1,21,16,0,2017-11-21 16:28:20,2017-11-21 17:54:40,5180.0,1.4388888888888889,47.299999999999955,24.799999999999997,27.200000000000003,17.235521235521233,9,128.0,4.705882352941176,928.2666666666667,1.9072580645161274,28.5725,0,3
-16.1,374.7,34.4,19.614,22,11,-8.0,323.6,10.0,137047.0,11,2017,11,1,21,23,0,2017-11-21 23:36:30,2017-11-22 00:53:36,4626.0,1.285,51.099999999999966,24.4,22.799999999999997,18.988326848249027,11,114.0,5.000000000000001,341.8333333333333,2.094262295081966,29.8575,0,3
-16.1,372.4,32.8,17.169,18,9,-7.4,327.3,11.6,137152.0,11,2017,11,2,22,17,0,2017-11-22 17:22:51,2017-11-22 18:31:28,4117.0,1.1436111111111111,45.099999999999966,21.199999999999996,22.799999999999997,18.53777022103473,9,105.0,4.605263157894737,989.25,2.1273584905660368,31.00111111111111,0,3
-16.0,374.7,31.2,19.863,19,10,-65.0,330.6,6.4,137372.0,11,2017,11,3,23,15,0,2017-11-23 15:45:47,2017-11-23 17:05:47,4800.0,1.3333333333333333,44.099999999999966,24.799999999999997,26.4,18.599999999999998,9,220.0,8.333333333333334,1274.3166666666666,1.7782258064516117,32.33444444444444,0,3
-16.1,374.8,33.6,19.843,21,8,-64.8,328.8,9.2,137477.0,11,2017,11,3,23,22,0,2017-11-23 22:52:35,2017-11-24 00:10:51,4696.0,1.3044444444444445,46.0,24.400000000000002,22.0,18.70528109028961,13,105.0,4.7727272727272725,346.8,1.8852459016393441,33.638888888888886,0,3
-16.0,370.7,32.0,15.831,18,9,-64.7,337.4,12.8,137594.0,11,2017,11,4,24,15,0,2017-11-24 15:25:07,2017-11-24 16:20:57,3350.0,0.9305555555555556,33.30000000000001,19.2,20.8,20.632835820895522,9,117.0,5.625,914.2666666666667,1.7343750000000007,34.56944444444444,0,3
-60.8,365.6,27.2,11.395999999999999,19,9,-8.6,328.5,12.8,137689.0,11,2017,11,4,24,20,0,2017-11-24 20:28:10,2017-11-24 21:00:03,1913.0,0.5313888888888889,37.10000000000002,14.399999999999999,19.2,27.098797699947724,10,95.0,4.947916666666667,247.21666666666667,2.5763888888888906,35.100833333333334,0,3
-16.0,374.8,31.6,19.627,21,11,-7.7,324.1,7.2,137874.0,11,2017,11,5,25,15,0,2017-11-25 15:04:39,2017-11-25 16:25:30,4851.0,1.3475,50.69999999999999,24.400000000000002,20.0,18.107606679035253,10,185.0,9.25,1084.6,2.077868852459016,36.44833333333333,0,3
