charge_end_I,charge_end_U,charge_end_soc,charge_energy,charge_max_temp,charge_min_temp,charge_start_I,charge_start_U,charge_start_soc,mileage,vehicle_id,year,month,week,day,hour,night,start,end,second_interval,charge_hour,dU,dsoc,ddsoc,dsoc/hour,dtemp,dmileage,dmileage/soc,interval_min,dU/dsoc,sum_charge,phase,charge_mode,energy/dsoc
-50.3,363.9,23.6,13.623,0,0,-2.0,322.7,6.4,136063.0,14,2017,11,2,1,18,0,2017-11-01 18:11:47,2017-11-01 18:52:27,2440.0,0.6777777777777778,41.19999999999999,17.200000000000003,0.0,25.377049180327873,0,0.0,,2.1666666666666665,2.3953488372093013,0.6777777777777778,0,1,0.7920348837209301
-16.4,374.6,34.4,15.671,0,0,-2.4,333.1,15.2,136105.0,14,2017,11,2,1,22,0,2017-11-01 22:11:33,2017-11-01 23:11:54,3621.0,1.0058333333333334,41.5,19.2,8.400000000000002,19.08864954432477,0,42.0,4.999999999999999,199.1,2.1614583333333335,1.6836111111111112,0,1,0.8161979166666666
-88.6,365.1,26.0,7.0729999999999995,0,0,-88.7,342.2,17.2,136199.0,14,2017,11,3,2,13,0,2017-11-02 13:36:08,2017-11-02 13:49:38,810.0,0.225,22.900000000000034,8.8,17.2,39.111111111111114,0,94.0,5.465116279069767,864.2333333333333,2.602272727272731,1.9086111111111113,0,1,0.8037499999999999
-16.4,370.6,32.8,16.442999999999998,0,0,-98.5,331.5,12.8,136270.0,14,2017,11,3,2,17,0,2017-11-02 17:36:05,2017-11-02 18:23:05,2820.0,0.7833333333333333,39.10000000000002,19.999999999999996,13.2,25.531914893617017,0,71.0,5.378787878787879,226.45,1.9550000000000014,2.6919444444444447,0,1,0.82215
-18.3,374.5,31.2,20.324,0,0,-109.4,326.7,6.4,136376.0,14,2017,11,3,2,22,0,2017-11-02 22:54:18,2017-11-02 23:59:59,3941.0,1.0947222222222222,47.80000000000001,24.799999999999997,26.4,22.654148693225068,0,106.0,4.015151515151516,271.21666666666664,1.9274193548387104,3.786666666666667,0,1,0.8195161290322582
-29.6,364.2,24.8,5.832999999999999,26,19,-105.0,357.9,18.0,136494.0,14,2017,11,4,3,19,0,2017-11-03 19:36:41,2017-11-03 19:53:41,1020.0,0.2833333333333333,6.300000000000011,6.800000000000001,13.2,24.000000000000004,7,118.0,8.93939393939394,1176.7,0.9264705882352957,4.07,0,1,0.8577941176470586
-16.3,374.5,31.2,15.714,28,15,-1.0,332.8,12.0,136536.0,14,2017,11,4,3,23,0,2017-11-03 23:12:37,2017-11-04 00:19:54,4037.0,1.121388888888889,41.69999999999999,19.2,12.8,17.12162496903641,13,42.0,3.28125,198.93333333333334,2.1718749999999996,5.1913888888888895,0,1,0.8184375
-16.4,374.6,31.2,18.548,25,14,-0.6,326.2,8.4,136646.0,14,2017,11,5,4,18,0,2017-11-04 18:15:46,2017-11-04 19:21:56,3970.0,1.1027777777777779,48.400000000000034,22.799999999999997,22.799999999999997,20.67506297229219,11,110.0,4.824561403508772,1075.8666666666666,2.1228070175438614,6.294166666666667,0,1,0.8135087719298246
-7.7,374.6,36.0,6.287000000000001,23,16,-1.9,356.5,28.4,136671.0,14,2017,11,5,4,21,0,2017-11-04 21:36:52,2017-11-04 23:46:52,7800.0,2.1666666666666665,18.100000000000023,7.600000000000001,2.8000000000000007,3.5076923076923086,7,25.0,8.928571428571427,134.93333333333334,2.3815789473684235,8.460833333333333,0,0,0.8272368421052632
-16.4,374.6,31.2,17.715,26,15,-1.0,328.0,9.6,137853.0,14,2017,11,4,10,13,0,2017-11-10 13:56:10,2017-11-10 15:01:00,3890.0,1.0805555555555555,46.60000000000002,21.6,26.4,19.989717223650388,11,1182.0,44.77272727272727,8049.3,2.1574074074074083,9.54138888888889,0,1,0.8201388888888889
