charge_end_I,charge_end_U,charge_end_soc,charge_energy,charge_max_temp,charge_min_temp,charge_start_I,charge_start_U,charge_start_soc,mileage,vehicle_id,year,month,week,day,hour,night,start,end,second_interval,charge_hour,dU,dsoc,ddsoc,dsoc/hour,dtemp,dmileage,dmileage/soc,interval_min,dU/dsoc,sum_charge,phase,energy/dsoc,P/kW,charge_mode
-40.6,369.6,96.4,18.160999999999998,26,17,-22.6,352.2,36.0,92441.5,4,2017,11,2,1,13,0,2017-11-01 13:05:48,2017-11-01 14:20:01,4453.0,1.2369444444444444,17.400000000000034,60.400000000000006,4.0,48.83000224567708,9,,,,0.288079470198676,1.2369444444444444,0,0.3006788079470198,14.682146867280483,2
-7.5,383.0,100.0,20.71,23,14,-7.6,348.3,32.0,92536.1,4,2017,11,2,1,19,0,2017-11-01 19:29:01,2017-11-02 03:05:22,27381.0,7.605833333333333,34.69999999999999,68.0,64.4,8.940506190424017,9,94.60000000000582,1.4689440993789722,309.0,0.5102941176470587,8.842777777777778,0,0.30455882352941177,2.7229100471129617,1
-35.7,365.4,90.0,16.99,25,18,-35.6,354.5,36.8,92625.6,4,2017,11,3,2,13,0,2017-11-02 13:07:15,2017-11-02 14:26:14,4739.0,1.3163888888888888,10.899999999999977,53.2,63.2,40.41358936484491,7,89.5,1.4161392405063291,601.8833333333333,0.20488721804511234,10.159166666666668,0,0.31936090225563907,12.906520362945768,2
-7.7,383.7,100.0,18.534000000000002,24,16,-7.6,351.3,38.8,92719.1,4,2017,11,3,2,19,0,2017-11-02 19:11:48,2017-11-03 01:59:26,24458.0,6.793888888888889,32.39999999999998,61.2,54.0,9.008095510671355,8,93.5,1.7314814814814814,278.3666666666667,0.5294117647058819,16.98138888888889,0,0.302843137254902,2.7280399051435116,1
-40.3,373.4,98.0,19.066,22,13,-23.2,351.7,34.8,92807.8,4,2017,11,4,3,12,0,2017-11-03 12:47:05,2017-11-03 14:05:07,4682.0,1.3005555555555555,21.69999999999999,63.2,65.2,48.59461768475011,9,88.69999999999709,1.3604294478527161,647.65,0.34335443037974667,18.281944444444445,0,0.3016772151898734,14.659888936351987,2
-24.5,359.1,46.8,0.381,5,2,-24.2,355.3,45.6,92881.9,4,2017,11,5,4,7,0,2017-11-04 07:09:45,2017-11-04 07:12:25,160.0,0.044444444444444446,3.8000000000000114,1.1999999999999957,-0.3999999999999986,26.999999999999904,3,0.09999999999126885,-0.24999999997817302,2.25,3.1666666666666874,18.343055555555555,0,0.3175000000000011,8.5725,2
-24.0,360.5,50.0,1.0290000000000001,5,2,-24.5,356.7,46.8,92881.9,4,2017,11,5,4,7,0,2017-11-04 07:14:51,2017-11-04 07:22:01,430.0,0.11944444444444445,3.8000000000000114,3.200000000000003,0.0,26.790697674418627,3,0.0,,2.433333333333333,1.1875000000000024,18.4625,0,0.32156249999999975,8.614883720930234,2
-23.7,361.2,56.4,1.857,6,2,-1.2,353.2,50.4,92881.9,4,2017,11,5,4,7,0,2017-11-04 07:27:42,2017-11-04 07:40:42,780.0,0.21666666666666667,8.0,6.0,-0.3999999999999986,27.69230769230769,4,0.0,-0.0,5.683333333333334,1.3333333333333333,18.679166666666664,0,0.3095,8.57076923076923,2
-5.8,371.3,100.0,19.660999999999998,18,7,-29.8,350.7,32.0,92911.8,4,2017,11,5,4,9,0,2017-11-04 09:27:31,2017-11-04 10:47:43,4812.0,1.3366666666666667,20.600000000000023,68.0,24.4,50.87281795511222,11,29.90000000000873,1.2254098360659316,106.81666666666666,0.30294117647058855,20.01583333333333,0,0.28913235294117645,14.708977556109724,2
-7.7,383.3,100.0,21.774,19,12,-7.5,346.4,30.8,93009.5,4,2017,11,5,4,18,0,2017-11-04 18:25:23,2017-11-05 02:26:27,28864.0,8.017777777777777,36.900000000000034,69.2,69.2,8.630820399113084,7,97.69999999999709,1.411849710982617,457.6666666666667,0.5332369942196536,28.033611111111107,0,0.3146531791907514,2.715715077605322,0
-40.3,368.9,94.0,19.118,23,13,-23.0,349.4,30.8,93110.6,4,2017,11,6,5,12,0,2017-11-05 12:35:31,2017-11-05 13:53:55,4704.0,1.3066666666666666,19.5,63.2,69.2,48.36734693877551,10,101.10000000000582,1.4609826589596215,609.0666666666667,0.30854430379746833,29.34027777777777,0,0.3025,14.63112244897959,2
-7.6,382.7,100.0,20.242,20,13,-7.6,348.7,33.2,93201.6,4,2017,11,6,5,18,0,2017-11-05 18:47:59,2017-11-06 02:14:21,26782.0,7.439444444444445,34.0,66.8,60.8,8.979165110895377,7,91.0,1.4967105263157896,294.06666666666666,0.5089820359281437,36.77972222222222,0,0.3030239520958084,2.7209020984243146,1
-40.1,372.2,97.6,19.989,24,14,-26.3,350.6,31.6,93300.6,4,2017,11,0,6,12,0,2017-11-06 12:25:42,2017-11-06 13:48:05,4943.0,1.3730555555555555,21.599999999999966,66.0,68.4,48.06797491401983,10,99.0,1.4473684210526314,611.35,0.32727272727272677,38.15277777777777,0,0.3028636363636364,14.558041675096097,2
-7.5,382.6,100.0,19.708,21,14,-7.5,349.6,34.8,93389.7,4,2017,11,0,6,19,0,2017-11-06 19:18:36,2017-11-07 02:32:54,26058.0,7.238333333333333,33.0,65.2,62.8,9.00759843426203,7,89.09999999999127,1.4187898089170585,330.51666666666665,0.5061349693251533,45.3911111111111,0,0.3022699386503067,2.722726226110983,1
-40.5,363.8,68.0,9.434,22,16,-29.3,351.7,36.0,93478.5,4,2017,11,1,7,12,0,2017-11-07 12:51:08,2017-11-07 13:29:20,2292.0,0.6366666666666667,12.100000000000023,32.0,64.0,50.26178010471204,6,88.80000000000291,1.3875000000000455,618.2333333333333,0.3781250000000007,46.02777777777777,0,0.2948125,14.817801047120417,2
-40.9,372.0,97.6,8.977,25,21,-41.1,360.3,68.0,93478.5,4,2017,11,1,7,13,0,2017-11-07 13:44:31,2017-11-07 14:20:22,2151.0,0.5975,11.699999999999989,29.599999999999994,0.0,49.539748953974886,4,0.0,,15.183333333333334,0.39527027027026995,46.62527777777777,0,0.3032770270270271,15.024267782426778,2
-7.6,382.6,100.0,17.184,23,16,-7.5,352.6,43.2,93555.7,4,2017,11,1,7,18,0,2017-11-07 18:57:21,2017-11-08 01:15:17,22676.0,6.2988888888888885,30.0,56.8,54.39999999999999,9.01746339742459,7,77.19999999999709,1.4191176470587703,276.98333333333335,0.5281690140845071,52.92416666666666,0,0.3025352112676057,2.7281001940377494,1
-39.9,373.7,98.4,18.533,23,14,-35.5,352.7,37.2,93648.5,4,2017,11,2,8,12,0,2017-11-08 12:23:38,2017-11-08 13:40:01,4583.0,1.2730555555555556,21.0,61.2,62.8,48.07331442286712,9,92.80000000000291,1.477707006369473,668.35,0.3431372549019608,54.197222222222216,0,0.3028267973856209,14.557887846388828,2
-40.2,371.7,97.2,20.096,20,10,-39.1,350.9,30.8,94191.4,4,2017,11,5,11,11,0,2017-11-11 11:57:09,2017-11-11 13:19:21,4932.0,1.37,20.80000000000001,66.4,69.2,48.46715328467153,10,97.59999999999127,1.4104046242773305,542.6,0.3132530120481929,55.56722222222221,0,0.30265060240963854,14.66861313868613,2
-7.6,383.7,100.0,20.077,18,9,-7.5,348.5,34.0,94276.2,4,2017,11,5,11,18,0,2017-11-11 18:42:59,2017-11-12 02:07:09,26650.0,7.402777777777778,35.19999999999999,66.0,63.2,8.915572232645404,9,84.80000000000291,1.3417721518987802,323.6333333333333,0.5333333333333332,62.96999999999999,0,0.30419696969696974,2.7120900562851786,1
-40.2,375.1,98.4,19.897000000000002,21,11,-39.4,351.7,32.0,94381.6,4,2017,11,6,12,12,0,2017-11-12 12:25:14,2017-11-12 13:46:16,4862.0,1.3505555555555555,23.400000000000034,66.4,68.0,49.164952694364466,10,105.40000000000873,1.5500000000001284,618.0833333333334,0.35240963855421736,64.32055555555554,0,0.29965361445783134,14.732455779514606,2
